,best loss train,best loss val,best acc train,best acc val,best f1 train,best f1 val
img cls scratch,0.18733,0.18734,0.92742,0.93333,0.93320,0.93699
img cls transferlr,0.04225,0.09469,0.98677,0.97500,0.98675,0.97480
